,prices,hometypes,bathrooms,bedrooms,sizes,garage,school_rating,city,ages
75,1395000.0,House,4.0,4.0,2016.0,1.0,7.7, San Francisco,58.0
76,1689000.0,Condo,4.0,4.0,1410.0,1.0,4.7, San Francisco,40.0
77,1395000.0,House,4.0,4.0,1462.0,2.0,6.0, San Francisco,37.0
78,1995000.0,Condo,4.0,4.0,2069.0,1.0,8.3, San Francisco,126.0
79,2995000.0,Condo,3.0,3.0,2391.0,2.0,3.3, San Francisco,115.0
80,1759000.0,Condo,2.0,3.0,1622.0,1.0,3.3, San Francisco,106.0
81,1650000.0,House,2.0,3.0,1424.0,0.0,6.3, San Francisco,21.0
82,1100000.0,Condo,1.0,1.0,1112.0,1.0,0.0, San Francisco,94.0
83,1995000.0,House,3.0,3.0,2496.0,0.0,5.7, San Francisco,20.0
84,1188000.0,House,3.0,4.0,1899.0,3.0,4.7, San Francisco,55.0
85,2125000.0,Condo,2.0,4.0,2178.0,1.0,5.0, San Francisco,114.0
86,1395000.0,Condo,2.0,2.0,1484.0,1.0,6.0, San Francisco,92.0
87,895000.0,Condo,1.0,1.0,1109.0,0.0,7.0, San Francisco,27.0
88,1995000.0,Condo,1.0,1.0,1658.0,1.0,6.0, San Francisco,33.0
89,1295000.0,Condo,1.0,1.0,984.0,1.0,7.0, San Francisco,35.0
90,898000.0,Condo,1.0,1.0,1050.0,0.0,3.0, San Francisco,113.0
91,1999000.0,Condo,1.0,1.0,1745.0,1.0,0.0, San Francisco,89.0
92,1895000.0,House,1.0,1.0,1627.0,1.0,3.7, San Francisco,69.0
93,1795000.0,Condo,1.0,1.0,1301.0,1.0,6.0, San Francisco,90.0
94,660000.0,Condo,1.0,1.0,823.0,1.0,0.0, San Francisco,114.0
95,899000.0,Condo,1.0,1.0,934.0,0.0,6.0, San Francisco,16.0
96,1699000.0,Multi-family,1.0,1.0,2565.0,2.0,8.0, San Francisco,58.0
97,2950000.0,Condo,1.0,1.0,2533.0,2.0,4.7, San Francisco,99.0
98,1348000.0,Condo,1.0,1.0,1529.0,1.0,7.0, San Francisco,77.0
99,1100000.0,House,1.0,1.0,1250.0,2.0,8.7, San Francisco,51.0
100,950000.0,House,1.0,0.0,1125.0,1.0,3.3, San Francisco,36.0
101,625000.0,Condo,1.0,0.0,845.0,0.0,6.7, San Francisco,26.0
102,799000.0,Condo,1.0,0.0,1022.0,1.0,3.3, San Francisco,113.0
103,995000.0,Condo,1.0,0.0,1092.0,0.0,2.7, San Francisco,37.0
104,995000.0,House,1.0,0.0,1363.0,1.0,4.7, San Francisco,62.0
105,1750000.0,Condo,1.0,0.0,1800.0,1.0,2.7, San Francisco,112.0
106,2395000.0,Condo,1.0,0.0,2211.0,1.0,3.3, San Francisco,11.0
107,1395000.0,New,2.0,3.0,1462.0,1.0,7.7, San Francisco,131.0
108,1995000.0,House,3.0,4.0,2423.0,2.0,6.0, San Francisco,41.0
109,1498000.0,Multi-family,2.0,4.0,2250.0,2.0,8.0, San Francisco,56.0
110,998000.0,Condo,1.0,1.0,700.0,1.0,4.7, San Francisco,85.0
111,1498000.0,House,2.0,3.0,1785.0,1.0,7.7, San Francisco,33.0
112,1495000.0,Condo,2.0,2.0,1512.0,1.0,7.7, San Francisco,34.0
113,2200000.0,Multi-family,3.0,4.0,2540.0,0.0,7.0, San Francisco,27.0
114,695000.0,Condo,1.0,1.0,734.0,1.0,5.0, San Francisco,103.0
115,2250000.0,Condo,1.0,1.0,1241.0,0.0,3.3, San Francisco,125.0
116,995000.0,Condo,1.0,1.0,964.0,0.0,1.3, San Francisco,11.0
117,1188000.0,House,1.0,1.0,1750.0,1.0,3.3, San Francisco,64.0
118,420000.0,Condo,1.0,0.0,390.0,0.0,0.0, San Francisco,23.0
119,2400000.0,House,1.0,0.0,2350.0,0.0,6.0, San Francisco,19.0
120,1450000.0,New,1.0,0.0,983.0,1.0,3.3, San Francisco,115.0
121,1275000.0,House,1.0,0.0,1025.0,1.0,7.7, San Francisco,48.0
122,1895000.0,House,1.0,0.0,1610.0,1.0,8.3, San Francisco,22.0
